id,rate,name,grade,style,region_id,crag_id,area_id
1,3,The Illness and the Cure,V5,1,1,1,1
2,3,Golden Pinch,V5,1,1,1,1
3,3,Golden Pinch Low,V11,1,1,1,1
4,5,Invincible,V10,1,1,1,1
5,4,Cruelty and Splendor,V10,1,1,1,1
6,3,The Hypothetical,V8,1,1,1,1
7,4,The Hypothetical Low,V12,1,1,1,1
8,3,Crystal Ball,V2,1,1,1,1
9,4,The Fortune Teller,V8,1,1,1,1
10,3,It's all in the Hips,V7,1,1,2,2
11,4,Spatula,V4,1,1,2,2
12,3,Frying Pan,V5,1,1,2,2
13,2,Panda Slab,V0,1,1,2,2
14,1,Panda Problem,V1,1,1,2,2
15,2,"The Strong Silent Type",V5,1,1,2,2
16,3,Pandamonium,V2,1,1,2,2
17,5,Panda Milk,V2,1,1,2,2
18,3,The Pandaverse,V3,1,1,2,2
19,2,Cluster Bomb War Fish,V1,1,1,2,2
20,2,Kenny Crack Corn,V0,1,1,2,2
21,3,Lucas Tease,V3,1,1,2,3
22,3,Edge Fund,V1,1,1,2,3
23,3,Petty Theft,V7,1,1,2,3
24,4,Mister Meaner,V5,1,1,2,3
25,3,Highway Robbery,V4,1,1,2,3
26,4,"Two, Tree",V3,1,1,2,3
27,2,Creekside Hustle,V0+,1,1,2,3
28,2,The World's Strongest Teapot,V5,1,1,2,3
29,5,Isreal's Cave,V6,1,1,3,4
30,4,Theory of Everything,V7,1,1,3,4
31,3,The Plagiarist,V6,1,1,3,4
32,3,The Plagiarist Low,V8,1,1,3,4
33,3,A Brief Moment of Clarity,V8,1,1,3,4
34,3,Double Standard,V9,1,1,3,4
35,3,Second Class Citizen,V7,1,1,3,4
36,4,The Lorax,V10,1,1,3,4
37,2,Rhea,V2,1,1,3,4
38,3,Rhea's Traverse,V5,1,1,3,4
39,3,Catharsis,V6,1,1,3,4
40,4,Five Stitches,V7,1,1,3,5
41,3,Manwich Traverse,V5,1,1,3,5
42,3,Rock Lobster,V5,1,1,3,5
43,2,Für das Schwein,V2,1,1,3,5
44,2,Little Jimmy,V2,1,1,3,5
45,3,Big Banana Traverse,V5,1,1,3,5
46,2,Prancing Perambulator,V2,1,1,3,5
47,4,"Long Walk, Short Dog",V7,1,1,3,6
48,1,Shitty Kitty,V0+,1,1,3,6
49,5,Dirty Bird,V3,1,1,3,6
50,3,The Birdy,V6,1,1,3,6
51,4,Rewind,V9,1,1,3,6
52,1,Psycosis,V1,1,1,3,6
53,5,Princesses Don't Whine,V7,1,1,3,6
54,3,Mind Meld,V6,1,1,3,6
55,4,Elemental Project,VH,1,1,3,6
56,2,Corner Store,V1,1,1,3,6
57,1,I Don't Know,V0,1,1,3,6
58,3,The Silver Dollar Arête,V5,1,1,3,7
59,3,Sweetfall,V5,1,1,3,7
60,2,Tunnel's End,V4,1,1,3,7
61,1,The Subway Mouse,V3,1,1,3,7
62,1,Stellaluna,V0-,1,1,3,7
63,1,Ripper,V0-,1,1,3,7
64,3,Carmel,V2,1,1,3,7
65,3,Goo Traverse,V3,1,1,3,7
66,2,Snowstorm,V2,1,1,3,7
67,2,Star of the Sea,V1,1,1,3,7
68,3,Moon Shell,V1,1,1,3,7
69,2,Weakness,V4,1,1,3,7
70,2,Consolidated,V4,1,1,3,7
71,3,Full Throttle,V4,1,1,3,7
72,3,Zero,V5,1,1,3,7
73,2,Brutal Equation,V2,1,1,3,7
74,2,Entertainment Tonight,V0,1,1,3,7
75,2,Dominion,V0,1,1,3,7
76,2,CNN,V1,1,1,3,7
77,2,Ish,V2,1,1,3,9
78,2,Family Affair,V0+,1,1,3,9
79,2,Lard fo the Thighs,V0-,1,1,3,9
80,3,Pasted,V3,1,1,3,9
81,2,Pooperscooper,V0+,1,1,3,9
82,2,Altered States,V0,1,1,3,9
83,3,Didacts and Narpents,V6,1,1,3,9
84,2,Quick Tick,V1,1,1,3,9
85,3,"Catamite's Delight",V1,1,1,3,9
86,2,Shakeup,V0+,1,1,3,9
87,3,Triple J Day,V0,1,1,3,9
88,2,Double J,V4,1,1,3,9
89,3,Handible Lecture,V4,1,1,3,9
90,2,Traversty,V0,1,1,3,9
91,1,Slice of Life,V0,1,1,3,9
92,5,Prime Time,V2,1,1,3,9
93,4,Prime Time Sit-down,V5,1,1,3,9
94,3,"Shaken, Not Stirred",V4,1,1,3,9
95,2,Green Traverse,V5,1,1,3,9
96,2,Green Extension,V8,1,1,3,9
97,2,Green Pea,V3,1,1,3,9
98,1,Tension Slap,V3,1,1,3,9
99,2,Rendition,V0-,1,1,3,9
100,1,Pride and Glory,V0+,1,1,3,9
101,2,Man on Wire,V0-,1,1,3,9
102,2,Eye,V0,1,1,3,9
103,5,Summoning,V12,1,1,3,9
104,3,Vertigo,V4,1,1,3,9
105,4,Natural Reaction,V7,1,1,3,9
106,3,"Tonight's Feature",V3,1,1,3,9
107,2,"The Bigger, the Better",V1,1,1,3,9
108,3,Achtung Baby,V4,1,1,3,9
109,4,Missing in Action,V8,1,1,3,9
110,3,Missing Reaction,V8,1,1,3,9
111,3,Head and Shoulders,V3,1,1,3,9
112,1,Road to Nowhere,V2,1,1,3,9
113,3,The Low Road,VH,1,1,3,9
114,2,Bog Wall Traverse,V3,1,1,3,8
115,3,Bog Wall Roof,V8,1,1,3,8
116,2,"All French, All The Time",V3,1,1,3,8
117,1,Overlooked,V2,1,1,3,8
118,3,Jam Session,V3,1,1,3,8
119,3,Praying Mantis,V5,1,1,3,8
120,3,Rat Traverse,V3,1,1,3,8
121,3,GTV,V8,1,1,3,8
122,3,GTA,V8,1,1,3,8
123,2,Veloce,V8,1,1,3,8
124,2,Sparky,V1,1,1,3,8
125,3,Dark Days,V2,1,1,3,8
126,2,Start,V3,1,1,3,8
127,2,Couger Crack,V0+,1,1,3,8
128,3,Ice Storm,V3,1,1,3,8
129,3,Warp Spasm,V7,1,1,3,8
130,2,Pearl Necklace,V5,1,1,3,8
131,2,Shin Pain,V3,1,1,3,8
132,2,Neil and Bob,V5,1,1,3,8
133,2,Feeling Cranky,V4,1,1,3,8
134,1,"Barely Crankin'",V0+,1,1,3,8
135,1,Right-hand Man,V1,1,1,3,8
136,3,Fear Factor,V5,1,1,3,8
137,4,"Patch's Send",V5,1,1,3,8
138,4,The Watchtower,V5,1,1,3,10
139,2,Two Riders,V3,1,1,3,10
140,3,The Joker,V3,1,1,3,10
141,3,The Thief,V5,1,1,3,10
142,3,Much Confusion,V4,1,1,3,10
143,2,No Relief,V2,1,1,3,10
144,2,Whaleback,V4,1,1,3,10
145,1,Napalm Brain,V1,1,1,3,10
146,2,Upside Down,V3,1,1,3,10
147,5,Five-Star Pillar,V5,1,1,3,10
148,3,Algae Eater,V3,1,1,3,10
149,1,"Kinda' Silly",V0-,1,1,3,10
150,1,Schnitzel Boy,V0,1,1,3,10
151,1,One Way Out,V0+,1,1,3,10
152,1,Miner Traverse,V2,1,1,3,10
153,2,Annie Likes It,V0-,1,1,3,10
154,2,Chump Jump,V1,1,1,3,10
155,1,Fractured Fairytales,V0+,1,1,3,10
156,2,Kraft Dinner,V3,1,1,3,10
157,2,"Crimpin' Ain't Easy",V11,1,1,3,10
158,2,The Water Throne,V5,1,1,4,11
159,5,Fantastic Mr.Fox,V7,1,1,4,11
160,4,Progression in Backwards Thinking,V10,1,1,4,11
161,3,A Time That Never Was,V9,1,1,4,11
162,2,Paranoid State,V3,1,1,4,11
163,2,Left Arête,V1,1,1,4,11
164,3,Flight of the Tea Cosy,V7,1,1,4,11
165,5,The Silk Road,V12,1,1,4,11
166,5,Disproving God,V6,1,1,4,12
167,4,Sacrilege,V8,1,1,4,12
168,4,My Personal Savior,V9,1,1,4,12
169,3,"Old Dog, New Trick",V6,1,1,4,12
170,3,Old Dog Left,V8,1,1,4,12
171,3,The Boy Who Cried Wolf,V3,1,1,4,12
172,5,Slippery When Wet,V7,1,1,4,12
173,4,Dihedral Project,VH,1,1,4,12
174,2,Breakdown,V6,1,1,4,12
175,3,Snot Polished,V4,1,1,4,12
176,2,Balls in the Falls,V3,1,1,4,12
177,4,Raging Waters,V8,1,1,4,12
178,3,Pretty Pillar,V1,1,1,4,12
179,2,Spot the Lobe,V3,1,1,4,12
180,3,The Sign,V3,1,1,4,12
181,3,Backwards,V7,1,1,4,12
182,2,Mister Master,V5,1,1,4,12
183,3,Squeeze Me,V4,1,1,4,12
184,3,Earth Ways,V5,1,1,4,12
185,4,Arête Project,VH,1,1,4,12
186,3,Trailside Project 1,VH,1,1,4,12
187,4,Tourist Attraction,V5,1,1,4,12
188,4,Trailside Project 2,VH,1,1,4,12
189,5,Pavelini,V7,1,1,5,13
190,3,The Gold Standard,V3,1,1,5,13
191,4,Liquid Gold,V4,1,1,5,13
192,3,Precious Metal,V1,1,1,5,13
193,1,Alcohol Abuse,V1,1,1,5,13
194,2,Flying Fury,V1,1,1,5,13
195,3,Dick Van Dyke,V0,1,1,5,13
196,3,Slip and Slide,V4,1,1,5,13
197,1,Strange Brew,V0+,1,1,5,13
198,1,33 1/3 Traverse,V0,1,1,5,13
199,2,Chimulator,V1,1,1,5,13
200,2,Diretissimo,V1,1,1,5,13
201,1,Three Crescents,V0+,1,1,5,13
202,2,Cave Arête,V3,1,1,5,13
203,3,Bullethead Dyno,V2,1,1,5,13
204,1,M. Gaston,V0+,1,1,5,13
205,1,"Mark's Traverse",V0+,1,1,5,13
206,2,Dike Rock Traverse,V3,1,1,5,13
207,2,High Steppenwolf,V1,1,1,5,13
208,2,Dike Direct,V2,1,1,5,13
209,1,Erix Arête,V1,1,1,5,13
210,1,Shithook,V0+,1,1,5,13
211,3,Red Face,V2,1,1,5,13
212,2,Mounting the Throne,V3,1,1,5,13
213,2,Turd Arête,V0,1,1,5,13
214,2,Tin Man,V7,1,1,5,13
215,5,The Fuzz,V7,1,1,5,13
216,3,The Fury,V10,1,1,5,13
217,3,The Furry,V11,1,1,5,13
218,2,The Fuzziest Fury,V7,1,1,5,13
219,3,Van Number Five,V8,1,1,5,13
220,1,Vortex,V4,1,1,5,13
221,4,The Well,V10,1,1,5,13
222,1,Squish a Gauche,V0-,1,1,5,14
223,1,The Little One,V0+,1,1,5,14
224,2,Shralpster,V2,1,1,5,14
225,2,Gravitational Pull,V1,1,1,5,14
226,1,Moss Candidate,V2,1,1,5,14
227,1,Crumbly,V3,1,1,5,14
228,2,The Cobbles,V2,1,1,5,14
229,3,Sea to Slab,V6,1,1,5,14
230,1,Blueberry Crumble,V1,1,1,5,14
231,2,Apple Crumble,V2,1,1,5,14
232,1,Peach Crumble,V1,1,1,5,14
233,5,Timeless,V5,1,1,5,14
234,3,Timeless Low,V6,1,1,5,14
235,2,The Pendulum,V7,1,1,5,14
236,4,Everyday Helmet,V5,1,1,5,14
237,2,Chickens Fly North,V1,1,1,5,14
238,2,"Chickens Don't Fly",V3,1,1,5,14
239,2,The Patriarchy,V2,1,1,5,14
240,2,Seismic,V6,1,1,5,14
241,1,Kitty Litter,V1,1,1,5,14
242,2,Stoke Up,V1,1,1,5,14
243,3,The Pawn,V2,1,1,5,14
244,2,The Backside,V4,1,1,5,14
245,4,Razor Burn,V4,1,1,5,14
246,2,Font Funk,V4,1,1,5,14
247,3,"Hec's Arête",V7,1,1,5,14
248,2,Aftershave,V0+,1,1,5,14
249,5,"It's About Time",V5,1,1,5,14
250,3,One Move Blunder,V4,1,1,5,14
251,3,Time Arête,V1,1,1,5,14
252,2,Blunder Time,V4,1,1,5,14
253,2,Mr. Jeremy Fisher,V2,1,1,5,14
254,3,Flipper,V3,1,1,5,14
255,2,Bipolar Slab,V3,1,1,5,14
256,2,Sharpshooter,V4,1,1,5,14
257,3,Sniper,V5,1,1,5,14
258,1,Bulbous Maximus,V3,1,1,5,14
259,2,Hairy Piranha,V2,1,1,5,14
260,2,Vanilla Meow,V0,1,1,5,14
261,2,"Ty's Arête",V0+,1,1,5,14
262,1,Death Cookies,V3,1,1,5,14
263,2,Dirty Poo-Poo Pants,V3,1,1,5,14
264,3,Architecture,V1,1,1,5,14
265,2,World Animals,V0,1,1,5,14
266,3,Holier Than Thou,V1,1,1,5,14
267,3,Tarnation,V0,1,1,5,14
268,2,Timber,V5,1,1,5,14
269,3,Sequoia,V4,1,1,5,14
270,3,Frequency Modulation,V4,1,1,5,14
271,3,Slab 101,V0,1,1,5,14
272,1,Low-rider,V3,1,1,5,15
273,3,Depth Charge,V6,1,1,5,15
274,2,Dumb Slab,V0-,1,1,5,15
275,3,"Jer's Extension",V4,1,1,5,15
276,3,The Cricket,V5,1,1,5,15
277,4,The Mantis,V4,1,1,5,15
278,2,Tweak Freak,V3,1,1,5,15
279,3,Twister,V1,1,1,5,15
280,5,Titanic,V3,1,1,5,15
281,2,John Rocker,V6,1,1,5,15
282,3,Stu's Dyke,V0,1,1,5,15
283,2,Subzero,V0-,1,1,5,15
284,3,Tumbleweed,V2,1,1,5,15
285,1,Moana,V0,1,1,5,15
286,2,The Telltale Heart,V0,1,1,5,15
287,2,Big Bottoms,V2,1,1,5,15
288,2,"Steppin' Out",V0-,1,1,5,15
289,3,Snake Hips,V3,1,1,5,15
290,2,Mushu Pork,V5,1,1,5,15
291,3,The Ice Cube,V0,1,1,5,15
292,3,Iceberg Right,V0,1,1,5,15
293,3,Iceberg Centre,V0+,1,1,5,15
294,2,Ice Fall,V7,1,1,5,15
295,2,Iceberg Arête,V1,1,1,5,15
296,3,Trap Door,V4,1,1,5,15
297,2,New School,V2,1,1,5,15
298,2,Gable Table,V3,1,1,5,15
299,2,Dub Club,V3,1,1,5,15
300,2,On Deck,V1,1,1,5,15
301,2,The Three Amigos,V1,1,1,5,15
302,1,Chemistry,V8,1,1,5,15
303,5,Mantra,V8,1,1,5,15
304,3,Black Hole Sun,V2,1,1,5,15
305,2,Hot Water Bottle,V0,1,1,5,15
306,2,The Birth Canal,V0-,1,1,5,15
307,2,C-section,V1,1,1,5,15
308,3,Shade Mantel,V3,1,1,5,15
309,3,Shade Dyke,V0+,1,1,5,15
310,3,Made in the Shade,V1,1,1,5,15
311,2,Smear Traverse,V1,1,1,5,15
312,2,Bark,V1,1,1,5,15
313,4,Mr. Bigglesworth,V8,1,1,5,15
314,3,Mr. Bigglesworth Low,V10,1,1,5,15
315,3,Dr. Evil,V5,1,1,5,15
316,2,Dr. Bigglesworth,V10,1,1,5,15
317,2,Snapper Head,V3,1,1,5,15
318,2,Zip it Arête,V0+,1,1,5,15
319,4,Anubis,V7,1,1,5,15
320,2,Mini Me,V1,1,1,5,15
321,3,Superhero Mojo,V3,1,1,5,15
322,2,Pyramid Traverse,V1,1,1,5,15
323,1,Webmaster,V3,1,1,5,15
324,3,Aid Stars,V4,1,1,5,15
325,3,Face It,V2,1,1,5,15
326,2,Crack Traverse,V1,1,1,5,15
327,4,Sea of Doubt,V6,1,1,5,15
328,3,"Surfin' on Heroin",V,1,1,5,15
329,2,Couch Surfer,V3,1,1,5,15
330,2,Couch Snacks,V0,1,1,5,15
331,2,Snacking on Potatoes,V0,1,1,5,15
332,2,Couch Potato,V0,1,1,5,15
333,2,Couch Knish,V1,1,1,5,15
334,2,Muffin Tops,V6,1,1,5,15
335,2,New and Improved,V1,1,1,5,15
336,2,The Waiting Game,V3,1,1,5,15
337,2,Another Green Traverse,V2,1,1,5,16
338,2,"Adam's Apple",V1,1,1,5,16
339,2,The Black Dyno,V3,1,1,5,16
340,4,Black Mark,V4,1,1,5,16
341,2,Sandtwitch,V2,1,1,5,16
342,1,Little Lip,V0,1,1,5,16
343,2,"Last, but not Elise",V2,1,1,5,16
344,3,Option B,V2,1,1,5,16
345,4,The Airtight Garage,V7,1,1,5,16
346,2,Option Z,V1,1,1,5,16
347,3,Für Elise,V3,1,1,5,16
348,3,Jughead,V0,1,1,5,16
349,2,The Other Side,V0,1,1,5,16
350,2,Treeson,V2,1,1,5,16
351,3,Lowdown,V1,1,1,5,16
352,2,Hot Dog in a Hallway,V1,1,1,5,16
353,2,The Window,V0,1,1,5,16
354,2,Headgear,V0-,1,1,5,16
355,1,Romper Stomper,V0,1,1,5,16
356,3,Supertroll,V3,1,1,5,16
357,3,Under the Bridge,V4,1,1,5,16
358,1,The Mailman,V2,1,1,5,16
359,1,Abdominal Cramps,V2,1,1,5,16
360,2,"What Have I Done?",V1,1,1,5,16
361,3,Choss-a-block,V2,1,1,5,16
362,3,Gastonomical,V5,1,1,5,16
363,3,Gas Arête,V5,1,1,5,16
364,2,"Bert & Ernie Were Just Good Friends",V3,1,1,5,16
365,2,Albatross,V3,1,1,5,16
366,4,Sesame Street,V9,1,1,5,16
367,3,Sesame Street Direct,V8,1,1,5,16
368,4,Thighmaster,V4,1,1,5,16
369,3,Slot Machine,V3,1,1,5,16
370,3,"Israel's Sloper Problem",V5,1,1,5,16
371,5,"Tim's Sloper Problem",V5,1,1,5,16
372,1,It Takes Tia to Tangle,V0,1,1,5,16
373,0,Escaping Dilation,V7,1,1,5,16
374,3,The Intricate World of Cletus,V5,1,1,5,16
375,1,Mudslide,V0,1,1,5,16
376,2,Iz Versus Iz,V9,1,1,5,16
377,4,Backseat,V9,1,1,5,16
378,4,Lucky Sharms,V11,1,1,5,16
379,2,Front Seat,V1,1,1,5,16
380,2,Jump Seat,V0,1,1,5,16
381,4,Masturbator,V6,1,1,5,16
382,2,"Scott's Spots",V4,1,1,5,16
383,4,Mosquito Incubator,V9,1,1,5,16
384,3,Mosquito Masturbator,V9,1,1,5,16
385,3,Funk the Blunt,V7,1,1,5,16
386,3,Neo-trad,V2,1,1,5,16
387,2,Cat Business,V0-,1,1,5,16
388,2,Scratching Post,V1,1,1,5,16
389,2,"Get In Where Ya' Fit In",V1,1,1,5,16
390,2,Sweet Tea,V0,1,1,5,16
391,2,Iced Tea,V0+,1,1,5,16
392,3,Disdain,V10,1,1,5,16
393,4,Green Tea,V4,1,1,5,16
394,1,On a Whim,V1,1,1,5,16
395,3,Carpet Ride,V3,1,1,5,16
396,2,Top Shelf,V4,1,1,5,16
397,2,North Face Direttissima,V0,1,1,5,16
398,1,Dirty Harry,V6,1,1,5,16
399,2,Poached,V2,1,1,5,16
400,4,Left Brain,V2,1,1,5,16
401,1,"Hec's Traverse",V3,1,1,5,16
402,3,"Si, Si Señor",V5,1,1,5,16
403,2,Small Motion,V11,1,1,5,16
404,3,Motion Sickness,V4,1,1,5,16
405,2,Locked in a Closet,V1,1,1,5,17
406,3,Slingshot Traverse,V4,1,1,5,17
407,5,Slingshot,V2,1,1,5,17
408,2,Santiago,V6,1,1,5,17
409,2,Calf Wrangler,V2,1,1,5,17
410,2,Coming of Rage,V0,1,1,5,17
411,4,28th Place,V0,1,1,5,17
412,3,The Big Scoop,V5,1,1,5,17
413,2,Subtext,V1,1,1,5,17
414,2,Chorus Line,V0,1,1,5,17
415,2,The Phallus in the Talus,V0-,1,1,5,17
416,2,Answering Machine,V0,1,1,5,17
417,3,Texas Toe Hook,V4,1,1,5,17
418,2,Voice Mail,V1,1,1,5,17
419,2,Cheeky Monkey,V2,1,1,5,17
420,2,Uncut,V1,1,1,5,17
421,2,G String Divas,V5,1,1,5,17
422,3,Clean Cut,V2,1,1,5,17
423,3,"Pat's Problem",V8,1,1,5,17
424,2,Simpleton,V0-,1,1,5,17
425,3,Impermanence,V3,1,1,5,17
426,1,Wheeler,V0+,1,1,5,17
427,4,Dealer,V0+,1,1,5,17
428,3,Moss Toupee,V5,1,1,5,17
429,2,Ketchup Soup,V1,1,1,5,17
430,2,Whig Standard,V2,1,1,5,17
431,2,Signals,V2,1,1,5,17
432,3,Launch Break,V4,1,1,5,17
433,1,Non Problem,V3,1,1,5,17
434,1,Foot and Mouth,V3,1,1,5,17
435,2,Crampus,V2,1,1,5,17
436,1,Student Union,V0+,1,1,5,17
437,2,Flake Work,V1,1,1,5,17
438,1,This is Surrel,V0,1,1,5,17
439,2,Clam Shell,V1,1,1,5,17
440,1,Compression,V3,1,1,5,17
441,3,TD Plus,V9,1,1,5,17
442,4,Immunity Challenge,V7,1,1,5,17
443,2,Campus Living,V4,1,1,5,17
444,3,Around the Corner,V3,1,1,5,17
445,3,The Imposter,V7,1,1,5,17
446,2,Phatasstrophic,V2,1,1,5,17
447,2,Phatasstrophe,V3,1,1,5,17
448,5,Phat Slab,V5,1,1,5,17
449,3,Good One,V2,1,1,5,17
450,3,Convex Face,V8,1,1,5,17
451,4,"Hunt's Arête",V8,1,1,5,17
452,3,Big Red Dawg,V4,1,1,5,17
453,2,Big Tree,V2,1,1,5,17
454,2,Mossimo,V0,1,1,5,17
455,1,Extradition,V1,1,1,5,17
456,1,Bridge of Pain,V3,1,1,5,18
457,2,Into the Bridge,V3,1,1,5,18
458,3,The Dentist,V0,1,1,5,18
459,3,Pulling Teeth Left,V3,1,1,5,18
460,3,Pulling Teeth Right,V4,1,1,5,18
461,2,Feature Creature,V2,1,1,5,18
462,3,Excavator,V4,1,1,5,18
463,4,Anatomy Lesson,V3,1,1,5,18
464,3,University Crawl,V7,1,1,5,18
465,3,University Brawl,V7,1,1,5,18
466,4,Squamish Days,V0,1,1,5,18
467,3,Squamish Days Traverse,V2,1,1,5,18
468,2,Broken Nose,V2,1,1,5,18
469,3,Carpenter Ants,V1,1,1,5,18
470,1,Queen Mother,V5,1,1,5,18
471,2,Escapism,VH,1,1,5,18
472,2,Ode to the Choad,V3,1,1,5,18
473,5,Fried Ant,V0+,1,1,5,18
474,2,Squamish Nights,V3,1,1,5,18
475,3,Drone,V4,1,1,5,18
476,2,Ant Slab,V0-,1,1,5,18
477,1,Mad Crap,V1,1,1,5,18
478,2,DNF,V0,1,1,5,18
479,2,Are You American?,V2,1,1,5,18
480,3,Are You Canadian?,V0,1,1,5,18
481,5,American Gigolo,V3,1,1,5,18
482,2,Acetone,V6,1,1,5,18
483,4,Doubt,V5,1,1,5,18
484,4,Vince Pinch,V12,1,1,5,18
485,1,Pid,V1,1,1,5,18
486,4,Left Rib,V2,1,1,5,18
487,2,Ten Miles Back,V4,1,1,5,18
488,3,"Ben's Traverse",V9,1,1,5,18
489,2,Dropping a Pearl,V0+,1,1,5,18
490,1,Let the Pearl Slip,V0+,1,1,5,18
491,2,Mongoose,V2,1,1,5,18
492,3,Coffee Girl,V7,1,1,5,18
493,3,Dead Sea to Israelia,V10,1,1,5,18
494,3,The Asp,V5,1,1,5,18
495,5,Viper,V5,1,1,5,18
496,1,Hmmm,V4,1,1,5,18
497,1,Did I Do That?,V4,1,1,5,18
498,2,Bonjour les Filles,V1,1,1,5,18
499,3,Poutine Cave,V6,1,1,5,18
500,4,White Bread,V1,1,1,5,18
501,2,First Steps,V0,1,1,5,18
502,2,Fraggle Rock Dyno,V2,1,1,5,18
503,3,Hand It Over,V1,1,1,5,18
504,2,Get Your Dog Off My Leg,V5,1,1,5,18
505,1,Piledriver,V9,1,1,5,18
506,2,Impact,V4,1,1,5,18
507,2,Construction,V0,1,1,5,18
508,2,Beachcomber,V1,1,1,5,18
509,2,Beached Whale,V2,1,1,5,18
510,1,Basking Shark,V1,1,1,5,18
511,3,Dances with Cats,V1,1,1,5,18
512,2,Easy Street,V0-,1,1,5,18
513,4,Young and Furious,V3,1,1,5,18
514,5,Old and Serious,V3,1,1,5,18
515,3,"Barn Door, Eh?",V6,1,1,5,18
516,2,Raggedy Andy,V1,1,1,5,18
517,2,Deception,V2,1,1,5,18
518,2,The Big Trio,V3,1,1,5,18
519,2,Under the Tree,V3,1,1,5,18
520,2,Towlie,V5,1,1,5,18
521,1,Stairway to Devon,V3,1,1,5,18
522,3,Minion,V4,1,1,5,18
523,2,Pagan Fears,V5,1,1,5,18
524,2,Snagglepuss,V5,1,1,5,18
